RecordedDate,Q1,Q70,Q15,Q17_1,Q17_2,Q17_3,Q17_4
Recorded Date,Which institution are you enrolled at?,What term are you taking the course?,How interested are you in data science.,Please rank the degree to which you agree or disagree with the following statements - I want data science to be part of my career.,Please rank the degree to which you agree or disagree with the following statements - Knowing more about data science will help me get a job in my desired field when I graduate.,Please rank the degree to which you agree or disagree with the following statements - Data science is important for achieving environmental and conservation goals.,Please rank the degree to which you agree or disagree with the following statements - I'm interested in majoring or minoring in something related to data science.
"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""QID1""}","{""ImportId"":""QID70""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}"
12/6/22 10:53,University of Arizona,Fall 2022,Moderately interested,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
12/6/22 15:35,University of Arizona,Fall 2022,Moderately interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
12/7/22 23:31,University of Arizona,Fall 2022,Extremely interested,Strongly agree,Strongly agree,Strongly agree,Strongly agree
12/8/22 2:06,University of Arizona,Fall 2022,Extremely interested,Strongly agree,Strongly agree,Strongly agree,Strongly agree
12/10/22 11:54,University of Arizona,Fall 2022,Very interested,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree
12/12/22 15:12,University of Arizona,Fall 2022,Very interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
12/12/22 19:57,University of Arizona,Fall 2022,Moderately interested,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
12/12/22 20:12,University of Arizona,Fall 2022,Moderately interested,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
5/2/23 12:01,University of Arizona,Spring 2023,Moderately interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree
5/2/23 12:12,University of Arizona,Spring 2023,Moderately interested,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
5/2/23 12:16,University of Arizona,Spring 2023,Moderately interested,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree
5/2/23 12:17,University of Arizona,Spring 2023,Moderately interested,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree
5/2/23 12:18,University of Arizona,Spring 2023,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
5/2/23 12:19,University of Arizona,Spring 2023,Very interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
5/2/23 12:21,University of Arizona,Spring 2023,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree
5/2/23 12:21,University of Arizona,Spring 2023,Extremely interested,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5/2/23 12:21,University of Arizona,Spring 2023,Extremely interested,Strongly agree,Strongly agree,Strongly agree,Strongly agree
5/2/23 12:22,University of Arizona,Spring 2023,Moderately interested,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree
5/2/23 12:22,University of Arizona,Spring 2023,Very interested,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree
