StudentID,Term,Gender,Race,School,Survey_Type,Q39,Q15,Q17_1,Q17_2,Q17_3,Q17_4
1,Fall 2022,Woman,Hispanic or Latinx,Lewis and Clark,Pre,7,1,1,1,2,1
1,Fall 2022,Woman,Hispanic or Latinx,Lewis and Clark,Post,4,2,2,2,2,2
2,Fall 2023,Woman,NA,Lewis and Clark,Pre,9,4,4,5,1,3
2,Fall 2023,Woman,NA,Lewis and Clark,Post,10,4,4,5,5,3
3,Spring 2023,Woman,White or Caucasian,University of Arizona,Pre,10,3,3,3,5,3
3,Spring 2023,Woman,White or Caucasian,University of Arizona,Post,9,3,2,5,5,1
4,Fall 2022,Woman,White or Caucasian,Lewis and Clark,Pre,10,3,3,4,5,4
4,Fall 2022,Woman,White or Caucasian,Lewis and Clark,Post,10,2,4,4,5,2
5,Fall 2024,Woman,White or Caucasian,University of Arizona,Pre,9,3,3,4,5,3
5,Fall 2024,Woman,White or Caucasian,University of Arizona,Post,10,4,4,5,5,3
6,Fall 2024,Woman,White or Caucasian,University of Arizona,Pre,10,3,3,5,5,2
6,Fall 2024,Woman,White or Caucasian,University of Arizona,Post,7,3,4,5,5,4
7,Fall 2024,Woman,White or Caucasian,University of Arizona,Pre,10,4,4,5,5,4
7,Fall 2024,Woman,White or Caucasian,University of Arizona,Post,9,3,3,5,5,3
8,Fall 2024,Woman,"Hispanic or Latinx,White or Caucasian",University of Arizona,Pre,10,4,4,3,5,5
8,Fall 2024,Woman,"Hispanic or Latinx,White or Caucasian",University of Arizona,Post,10,4,4,4,5,5
9,Spring 2023,Woman,"Hispanic or Latinx,White or Caucasian",University of Arizona,Pre,10,3,4,5,3,3
9,Spring 2023,Woman,"Hispanic or Latinx,White or Caucasian",University of Arizona,Post,10,3,4,5,5,3
10,Fall 2024,Woman,White or Caucasian,University of Arizona,Pre,10,3,4,5,5,2
10,Fall 2024,Woman,White or Caucasian,University of Arizona,Post,10,3,4,5,5,2
11,Fall 2022,Woman,Asican American or Asian,Lewis and Clark,Pre,9,3,3,4,5,3
11,Fall 2022,Woman,Asican American or Asian,Lewis and Clark,Post,10,2,3,2,5,2
12,Fall 2023,Woman,White or Caucasian,Lewis and Clark,Pre,9,3,2,1,3,2
12,Fall 2023,Woman,White or Caucasian,Lewis and Clark,Post,10,2,2,4,4,1
13,Fall 2023,Woman,"Hispanic or Latinx,White or Caucasian",University of Arizona,Pre,10,2,1,4,5,1
13,Fall 2023,Woman,"Hispanic or Latinx,White or Caucasian",University of Arizona,Post,10,1,3,4,5,2
14,Fall 2023,Man,"Hispanic or Latinx,White or Caucasian",Lewis and Clark,Pre,9,3,3,4,5,2
14,Fall 2023,Man,"Hispanic or Latinx,White or Caucasian",Lewis and Clark,Post,8,3,4,4,5,5
15,Fall 2022,Man,I prefer not to answer,University of Arizona,Pre,8,3,3,3,3,3
15,Fall 2022,Man,I prefer not to answer,University of Arizona,Post,7,3,3,4,3,3
16,Spring 2024,Man,Hispanic or Latinx,University of Arizona,Pre,7,2,3,3,4,3
16,Spring 2024,Man,Hispanic or Latinx,University of Arizona,Post,10,4,4,5,5,4
17,Spring 2024,Prefer to self-identify as,NA,University of Arizona,Pre,9,2,3,5,5,2
17,Spring 2024,Prefer to self-identify as,NA,University of Arizona,Post,10,3,4,4,5,4
18,Fall 2022,Man,Hispanic or Latinx,University of Arizona,Pre,8,3,4,3,4,3
18,Fall 2022,Man,Hispanic or Latinx,University of Arizona,Post,10,3,3,4,3,3
19,Fall 2023,Man,"Asican American or Asian,White or Caucasian",University of Arizona,Pre,9,5,5,5,5,4
19,Fall 2023,Man,"Asican American or Asian,White or Caucasian",University of Arizona,Post,10,3,3,4,5,3
