Paired T-Test Results,,Not Significant,,Not Significant,,Not Significant,,Not Significant,,Not Significant,,Not Significant,
,,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post,Pre,Post
,,Q39,Q39,Q15,Q15,Q17_1,Q17_1,Q17_2,Q17_2,Q17_3,Q17_3,Q17_4,Q17_4
,,How important do you think data is for understanding and solving real world problems? 0 is not important at all and 10 is critically important.,How important do you think data is for understanding and solving real world problems? 0 is not important at all and 10 is critically important.,How interested are you in data science.,How interested are you in data science.,Please rank the degree to which you agree or disagree with the following statements - I want data science to be part of my career.,Please rank the degree to which you agree or disagree with the following statements - I want data science to be part of my career.,Please rank the degree to which you agree or disagree with the following statements - Knowing more about data science will help me get a job in my desired field when I graduate.,Please rank the degree to which you agree or disagree with the following statements - Knowing more about data science will help me get a job in my desired field when I graduate.,Please rank the degree to which you agree or disagree with the following statements - Data science is important for achieving environmental and conservation goals.,Please rank the degree to which you agree or disagree with the following statements - Data science is important for achieving environmental and conservation goals.,Please rank the degree to which you agree or disagree with the following statements - I'm interested in majoring or minoring in something related to data science.,Please rank the degree to which you agree or disagree with the following statements - I'm interested in majoring or minoring in something related to data science.
,,9,10,4,4,4,4,5,5,1,5,3,3
,,9,10,3,2,2,2,1,4,3,4,2,1
,,8,,2,,2,,4,,5,,1,
,,10,10,2,1,1,3,4,4,5,5,1,2
,,9,8,3,3,3,4,4,4,5,5,2,5
,,9,10,5,3,5,3,5,4,5,5,4,3
,,10,10,3,2,4,2,5,2,5,5,2,1
,,10,7,3,2,3,3,4,4,4,3,3,2
,,9,6,3,1,3,2,4,3,5,5,3,2
,,10,10,3,4,4,4,5,4,5,5,4,5
,,10,10,3,4,4,5,5,5,5,5,1,5
,,10,10,2,3,3,3,3,4,5,5,4,3
,,9,8,1,2,3,2,4,5,5,5,1,1
,,10,10,4,4,5,5,5,5,5,5,4,3
,,7,8,3,4,3,4,4,5,4,5,2,4
,,9,10,3,3,4,3,5,4,5,5,4,3
,,7,10,1,4,3,4,4,4,5,5,2,4
,,8,5,3,3,3,3,4,3,3,3,3,2
,,7,10,4,5,4,5,4,5,5,5,4,5
,,10,10,4,4,5,5,5,5,5,5,5,5
,,10,10,4,5,4,5,4,5,5,5,3,3
,,9,10,2,3,2,4,4,5,4,5,2,3
,,10,10,2,3,2,3,5,5,5,4,1,3
,,9,6,3,3,4,5,5,5,4,5,4,4
,,10,10,3,2,4,4,5,4,5,5,2,2
,,10,10,2,1,1,1,5,4,5,5,3,1
,,10,9,3,4,3,4,4,5,4,5,4,5
,,8,9,4,4,3,4,5,5,5,5,4,4
,,10,8,3,3,2,3,4,5,5,5,2,3
,,10,10,4,4,4,5,3,5,4,5,2,3
,,10,10,4,4,3,4,5,4,5,5,3,2
,,6,9,2,2,1,2,1,3,4,5,1,1
,,8,8,2,1,2,2,2,2,5,5,2,1
,,8,10,3,3,4,3,4,4,5,5,1,4
,,8,10,3,4,4,5,5,5,5,5,5,5
